name,code,date,close,pct,open,high,low,volume,ma5,ma10,ma20,ma60,ma120,ma250,dist_ma5_pct,dist_ma20_pct,dist_ma60_pct,dist_ma250_pct,recent_5d_return_pct,recent_20d_return_pct,recent_20d_low,recent_20d_low_date,recent_20d_high,recent_20d_high_date,vol_vs_20d
上证指数,sh000001,2026-06-05,4027.736,-0.74,4044.829,4078.932,4015.063,66291857700,4060.467,4086.121,4125.501,4058.052,4052.092,3875.1,-0.806,-2.37,-0.747,3.939,-0.739,-4.669,4015.063,2026-06-05,4258.863,2026-05-14,0.985
沪深300,sh000300,2026-06-05,4816.92,-1.791,4886.965,4924.344,4798.91,30192933600,4883.858,4900.324,4892.048,4731.776,4701.491,4491.831,-1.371,-1.536,1.799,7.237,-0.564,-2.725,4773.534,2026-05-19,5030.519,2026-05-14,1.09
深证成指,sz399001,2026-06-05,15314.7,-2.215,15595.695,15710.144,15243.506,81825118558,15522.494,15651.874,15657.725,14792.326,14343.259,13086.815,-1.339,-2.191,3.531,17.024,-0.167,-3.677,15203.797,2026-06-02,16207.752,2026-05-14,1.023
创业板指,sz399006,2026-06-05,3957.935,-3.203,4079.952,4105.21,3933.065,22873202312,4035.324,4044.965,3987.271,3628.886,3445.317,3035.542,-1.918,-0.736,9.067,30.386,0.177,0.737,3797.498,2026-05-11,4218.331,2026-06-03,0.994
科创50,sh000688,2026-06-05,1668.329,-4.012,1706.531,1735.078,1659.479,1683570900,1697.364,1766.159,1758.282,1515.89,1471.272,1331.29,-1.711,-5.116,10.056,25.317,0.279,-2.817,1641.167,2026-06-02,1901.966,2026-05-27,0.903
