date,open,high,low,close,volume,pct,ma5,ma10,ma20,ma60,ma120,ma250
1991-03-13,126.13,128.77,126.13,126.15,49800,-2.034635396443274,128.906,130.446,131.9005,,,
1991-03-14,125.61,126.15,125.61,125.63,32600,-0.41220768925882556,127.95,129.708,131.6145,,,
1991-03-15,125.08,125.62,125.08,125.17,79000,-0.36615458091219244,127.006,128.972,131.277,129.44933333333333,,
1991-03-18,124.7,125.17,124.69,124.71,125000,-0.36750019972837666,126.08600000000001,128.244,130.88600000000002,129.8615,,
1991-03-19,124.23,124.71,124.22,124.22,89200,-0.39291155480715156,125.176,127.51999999999998,130.4405,130.192,,
1991-03-20,123.66,124.21,123.63,123.66,67800,-0.45081307357913714,124.678,126.79199999999999,129.94,130.43416666666667,,
1991-03-21,123.14,123.66,123.12,123.12,15100,-0.4366812227074135,124.176,126.06300000000002,129.382,130.577,,
1991-03-22,122.62,123.12,122.62,122.62,20700,-0.40610786224821727,123.66600000000001,125.33599999999998,128.7695,130.6165,,
1991-03-25,122.12,122.62,122.1,122.12,44300,-0.4077638231936076,123.148,124.617,128.1555,130.564,,
1991-03-26,121.62,122.14,121.62,121.62,116400,-0.409433344251553,122.628,123.902,127.54,130.503,,
1991-03-27,121.12,121.64,121.12,121.12,66800,-0.41111659266568346,122.12,123.399,126.92250000000001,130.41416666666666,,
1991-03-28,120.65,121.15,120.61,120.61,96100,-0.42107001321004534,121.61800000000001,122.897,126.30250000000001,130.2975,,
1991-03-29,120.16,120.61,120.11,120.19,218500,-0.34822983168891763,121.13200000000002,122.399,125.6855,130.15333333333334,,
1991-04-01,120.69,120.73,119.68,120.73,1199900,0.44928862634163735,120.854,122.001,125.12249999999999,129.9965,,
1991-04-02,121.21,121.29,120.73,121.21,81600,0.3975813799387051,120.772,121.7,124.60999999999999,129.826,,
1991-04-03,121.71,121.71,121.21,121.71,206300,0.41250721887633457,120.89000000000001,121.505,124.14849999999998,129.6535,,
1991-04-04,122.2,122.2,121.24,121.72,1051700,0.008216251745962744,121.112,121.36499999999998,123.71400000000001,129.47083333333333,,
1991-04-05,121.07,121.73,121.03,121.54,1158900,-0.14788038120275848,121.38199999999999,121.25699999999999,123.29650000000001,129.27416666666667,,
1991-04-08,121.11,121.11,121.05,121.09,186200,-0.37024847786737425,121.454,121.154,122.88550000000001,129.05949999999999,,
1991-04-09,120.6,121.1,120.6,120.62,32000,-0.3881410521100026,121.33600000000001,121.054,122.478,128.8265,,
1991-04-10,120.15,120.62,120.09,120.16,46600,-0.3813629580500799,121.026,120.958,122.17850000000001,128.58466666666666,,
1991-04-11,119.64,120.16,119.62,119.64,23900,-0.43275632490012983,120.60999999999999,120.86100000000002,121.87899999999999,128.333,,
